%hm0 hm0a hm0b hmax mdir mdira mdirb tp
1.17 0.39 1.09 1.68 126.56 151.88 125.16 6.84
1.02 0.27 0.98 1.41 129.38 180.70 126.56 6.93
1.02 0.27 0.98 1.29 125.86 355.78 127.27 7.62
1.05 0.23 1.02 1.37 132.19 160.31 130.78 7.32
0.98 0.23 0.94 1.52 133.59 191.95 130.08 6.64
0.98 0.27 0.94 1.33 136.41 169.45 132.89 6.93
0.98 0.27 0.94 1.37 133.59 145.55 131.48 7.23
1.02 0.23 0.98 1.29 134.30 193.36 131.48 7.32
0.98 0.23 0.94 1.13 127.97 189.14 125.16 6.93
0.98 0.23 0.94 1.41 132.89 156.80 131.48 7.52
0.94 0.23 0.94 1.29 136.41 168.75 133.59 6.54
0.94 0.20 0.90 1.13 136.41 180.00 134.30 6.74
0.98 0.20 0.94 1.52 137.81 154.69 137.11 6.74
0.90 0.20 0.90 1.33 139.22 166.64 138.52 6.93
0.86 0.16 0.86 1.29 139.22 141.33 139.22 6.84
0.82 0.23 0.82 1.21 139.92 143.44 139.22 6.74
0.82 0.12 0.78 1.05 144.14 169.45 142.73 6.93
0.78 0.12 0.74 1.37 141.33 151.17 140.62 7.13
0.74 0.16 0.74 1.09 145.55 168.75 144.14 6.93
0.70 0.16 0.70 0.90 141.33 167.34 139.92 7.62
0.70 0.16 0.70 0.98 139.22 152.58 137.81 7.52
0.78 0.16 0.78 1.21 139.22 159.61 137.81 7.52
0.70 0.20 0.66 0.94 140.62 153.98 139.92 7.81
0.78 0.23 0.74 0.94 143.44 166.64 141.33 7.52
0.74 0.23 0.70 1.17 141.33 170.86 138.52 8.30
0.74 0.20 0.74 1.21 139.92 152.58 137.81 7.32
0.78 0.20 0.74 1.21 144.14 166.64 142.03 7.91
0.70 0.12 0.66 0.94 149.77 160.31 148.36 8.50
0.66 0.16 0.66 0.90 148.36 146.25 148.36 8.59
0.78 0.16 0.74 0.94 149.77 151.88 149.77 8.79
0.70 0.16 0.70 0.94 154.69 148.36 155.39 8.79
0.74 0.12 0.74 1.02 156.80 149.06 156.80 8.79
0.70 0.12 0.66 1.02 156.09 170.16 155.39 8.89
0.70 0.16 0.70 1.02 151.88 158.91 151.17 8.79
0.66 0.12 0.66 1.09 147.66 156.09 146.25 7.71
0.74 0.16 0.70 1.05 142.73 156.80 141.33 8.11
0.74 0.16 0.70 0.94 149.77 165.94 148.36 8.30
0.70 0.20 0.66 1.25 142.73 156.09 141.33 8.89
0.70 0.12 0.70 1.05 143.44 176.48 142.73 8.30
0.70 0.20 0.70 0.90 146.95 160.31 145.55 8.69
0.74 0.20 0.74 1.05 153.98 163.12 152.58 8.59
0.78 0.20 0.78 1.05 157.50 171.56 156.09 8.89
0.78 0.12 0.74 1.13 164.53 166.64 163.83 8.79
0.78 0.16 0.78 1.13 169.45 157.50 169.45 8.50
0.90 0.23 0.86 1.33 165.23 168.05 163.83 8.40
0.86 0.16 0.86 1.13 155.39 151.88 155.39 9.47
0.86 0.20 0.82 1.09 163.12 159.61 162.42 8.79
0.82 0.23 0.78 1.17 161.72 163.12 161.02 8.69
0.74 0.23 0.74 1.17 168.75 164.53 168.05 8.79
0.82 0.20 0.78 1.09 163.83 197.58 161.72 8.89
0.74 0.23 0.70 1.05 159.61 169.45 156.80 8.69
0.90 0.20 0.86 1.33 148.36 182.11 144.84 8.79
0.86 0.23 0.82 1.33 161.02 196.17 156.09 8.69
0.90 0.23 0.86 1.29 158.20 177.89 156.80 8.30
0.90 0.23 0.86 1.21 156.80 184.92 154.69 7.71
0.94 0.31 0.90 1.80 170.16 231.33 168.05 8.69
0.90 0.27 0.86 1.45 160.31 193.36 157.50 8.69
0.98 0.31 0.94 1.48 157.50 208.12 156.09 8.98
1.13 0.39 1.05 1.56 165.23 215.16 163.83 9.67
0.98 0.35 0.90 1.29 159.61 207.42 156.80 10.06
1.13 0.35 1.09 1.52 164.53 217.97 161.72 8.98
1.09 0.39 1.02 1.56 176.48 200.39 172.97 9.47
1.09 0.31 1.05 1.72 160.31 184.22 158.20 8.30
1.17 0.39 1.13 1.99 163.12 191.25 160.31 9.08
1.17 0.47 1.09 1.72 162.42 197.58 159.61 9.18
1.17 0.39 1.13 1.60 153.98 176.48 149.77 9.08
1.25 0.35 1.21 1.84 154.69 177.19 151.88 8.40
1.09 0.47 0.98 1.45 162.42 196.88 153.98 9.47
1.13 0.43 1.05 2.38 168.75 199.69 163.83 9.18
1.02 0.43 0.90 1.60 165.23 194.06 163.83 8.79
1.02 0.39 0.94 1.60 159.61 190.55 155.39 8.98
1.09 0.39 1.02 1.80 153.98 172.27 153.28 9.57
1.13 0.47 1.02 1.52 157.50 189.14 153.98 8.98
1.05 0.59 0.90 1.52 163.83 180.00 158.91 10.16
1.13 0.55 1.02 1.68 165.23 191.25 161.02 9.57
1.17 0.55 1.05 1.84 173.67 187.03 168.75 9.86
1.09 0.51 0.98 1.60 164.53 203.91 158.20 9.18
1.13 0.51 1.02 1.64 161.72 193.36 156.09 9.47
1.09 0.55 0.94 1.68 167.34 191.25 161.72 9.77
1.05 0.35 0.98 1.68 161.02 180.00 159.61 9.38
1.09 0.47 0.98 1.80 168.05 192.66 164.53 9.86
1.09 0.35 1.05 1.80 170.16 205.31 168.75 8.50
1.13 0.47 1.02 1.60 194.06 187.03 192.66 9.18
1.25 0.51 1.17 1.68 196.88 194.06 196.17 10.06
1.33 0.66 1.17 1.91 216.56 209.53 217.97 8.89
1.33 0.66 1.13 1.72 210.94 205.31 215.16 9.38
1.29 0.70 1.09 1.80 217.97 205.31 221.48 9.77
1.17 0.55 1.05 1.68 201.80 203.20 202.50 9.18
1.13 0.66 0.94 1.72 195.47 203.20 194.06 9.28
1.02 0.55 0.86 1.52 184.92 201.80 181.41 9.08
1.09 0.62 0.94 1.56 188.44 198.28 188.44 9.57
1.25 0.59 1.09 1.48 201.80 198.28 203.20 9.28
1.17 0.70 0.94 1.60 205.31 198.28 210.23 12.99
1.29 0.70 1.09 2.07 206.72 197.58 213.05 9.47
